lAboutText1	~1~ ~2~ (~3~ bits)
lAboutText2	~1~ wordt ontwikkeld door Jean Lalonde gebruik`nmakend van <a href="http://ahkscript.org/">AutoHotkey</a> programmeertaal.`n`nNederlandse vertaling: Pieter Dejonghe`nDuitse vertaling: Edgar "Fast Edi" Hoffmann`nFranse vertaling: Jean Lalonde`nKoreaanse vertaling: Om Il-Sung`nZweedse vertaling: Åke Engelbrektson`nItaliaanse vertaling: Riccardo Leone`nSpaanse vertaling:  kiketrucker`nBraziliaans Portugese vertaling: Igor Ruckert`nAndere talen: (hulp is welkom)`nCorrectie Engelse vertaling: (hulp is welkom)`n`nOntwerp icons: <a href="http://www.visualpharm.com">Visual Pharm</a>`nInstaller: <a href="http://www.jrsoftware.org/isinfo.php">Inno Setup</a> van jrsoftware.org`nAutoHotkey_L v1.1 bronbestanden: <a href="https://github.com/JnLlnd/QuickAccessPopup">GitHub</a>
lAboutText3	~1~ Jean Lalonde 2013-2014. Freeware.
lAboutText4	Ondersteuning via <a href="http://www.quickaccesspopup.com">www.quickaccesspopup.com</a>
lAboutTitle	Over... - ~1~ ~2~
lAlternativeMenuTrayTipCopyLocation	Select the favorite to copy ; new
lAlternativeMenuTrayTipEditFavorite	Select the favorite to edit ; new
lAlternativeMenuTrayTipNewWindow	Select the folder to open in a new window ; new
lAppTagline	<a href="http://www.quickaccesspopup.com/what-should-i-know-about-quick-access-popup-before-starting/">Quick Start</a> • <a href="http://www.quickaccesspopup.com/frequently-asked-questions/">Frequently asked questions</a> • <a href="http://www.quickaccesspopup.com">Support</a> (English) ; new - do not translate URLs
lCopyLocationCopiedToClipboard	Path or URL copied to the Clipboard ; new
lDiagModeCaution	~1~ wordt momenteel uitgevoerd in diagnose-modus.`n`nInformatie over de uitvoering van de software wordt verzameld in het bestand:`n~2~`n`nNiets zal worden verzonden zonder uw toestemming.`n`nWil je de diagnose-modus AAN laten?
lDiagModeExit	~1~ heeft informatie voor foutdiagnose verzameld in het bestand ~2~.
